Name,Location,Hours,Vertical,Number-Of-Lifts,Longitude,Latitude
Adanac Ski Hill,Sudbury,9:00 am- 4:00pm,374 m,1,-81.06,46.58
Antoine Mountain,Mattawa,9:00 am- 4:00pm,192 m,1,-78.4,46.22
Batawa Ski Hill,Quinte West,9:00 am- 4:00pm,762 m,3,-77.35,44.1
Beaver Valley Ski Club,Beaver Valley,9:00 am- 4:00pm,155 m,6,-80.32,44.21
Blue Mountain,Collingwood,9:00 am- 4:00pm, 220 m,13,-80.18,44.3
Boler Mountain,London,9:00 am- 4:00pm,63 m,5,-81.34,42.94
Brimacombe,Port Perry,9:00 am- 9:00pm,72 m,2,,
Calabogie Peaks,Ottawa,9:00 am- 4:00pm,232 m,3,-76.46,45.16
Caledon Ski Club,Caledon,9:00 am- 4:00pm,72 m,2,-79.86,43.87
Chicopee,Kitchener,9:00 am- 4:00pm,61 m,5,-80.42,43.43
Dagmar,Port Perry,9:00 am- 9:00pm,65 m,4,-79.05,44.01
Georgian Peaks Club,Thornbury,9:00 am- 4:00pm,250 m,5,-80.38,44.54
Glen Eden,Milton,9:00 am- 4:00pm,72 m,6,-79.56,43.3
Hidden Valley Highlands,Huntsville,9:00 am- 4:00pm,100 m,4,-79.13,45.2
Hockley Valley,Mono,9:00 am- 4:00pm,114 m,4,-80.05,43.98
Horseshoe Valley,Barrie,9:00 am- 9:00pm,94 m,8,-79.4,44.34
Lakeridge Ski Resort,Port perry,9:00 am- 9:00pm,80 m,5,-79.04,44
Mansfield Ski Club,Mansfield,9:00 am- 4:00pm,130 m,7,-80.05,44.2
Mount St. Louis Moonstone,Moonstone,9:00 am- 4:00pm,168 m,13,-79.4,44.37
North York Ski Center,Toronto,9:00 am- 4:00pm,55 m,1,-79.43,43.75
Skyloft Ski Country Club,Port Perry,9:00 am- 9:00pm,45 m,2,-79.01,43.99
Uplands Ski Area,,9:00 am- 4:00pm,30,1,-79.26,43.49
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
