ID,Name,Country,Latitude (°),Longitude (°),Elevation (m),Light pollution,Limiting magnitude
aao,Australian Astronomical Observatory,Australia,"31° 16' 31.38"" S","149° 04' 02.03"" E",1136,negligible,6.8
aip,Leibniz-Institut für Astrophysik Potsdam,Germany,"52° 24' 17.87"" N","13° 06' 15.38"" E",67,very bad,5.5
ali,Ali Observatory,China,"32° 19' 34.72"" N","80° 01' 32.88"" E",5035,very low,6.7
alma,Atacama Large Millimeter Array,Chile,"23° 01' 44.40"" S","67° 45' 18.00"" W",5035,negligible,6.8
apex,Atacama Pathfinder Experiment,Chile,"23° 00' 41.32"" S","67° 46' 42.97"" W",5058,negligible,6.8
apo,Apache Point Observatory,United States,"32° 46' 48.00"" N","105° 49' 12.00"" W",2798,low,6.7
apoa,Anton Pannekoek Observatory,Netherlands,"52° 21' 15.66"" N","04° 57' 17.84"" E",0,extreme,4.6
arecibo,Arecibo Observatory,Puerto Rico,"18° 20' 39.12"" N","66° 45' 09.72"" W",238,bad,6.1
armagh,Armagh Observatory,United Kingdom,"54° 21' 07.63"" N","06° 38' 54.47"" W",52,bad,5.8
asiago,Osservatorio Astrofisico di Asiago,Italy,"45° 51' 59.41"" N","11° 31' 35.22"" E",1034,bad,5.8
atca,Australia Telescope Compact Array,Australia,"30° 18' 46.08"" S","149° 33' 54.00"" E",209,very low,6.8
bao,Beijing XingLong Observatory,China,"40° 23' 44.52"" N","117° 34' 33.24"" E",950,moderate,6.5
biruni,Biruni Observatory,Iran,"29° 39' 00.95"" N","52° 30' 16.34"" E",1705,extreme,4.2
bosscha,Bosscha Observatory,Indonesia,"06° 49' 28.67"" S","107° 37' 01.60"" E",1296,very bad,5.5
calan,Observatorio Astronómico Nacional de Chile,Chile,"33° 23' 43.80"" S","70° 32' 11.23"" W",859,extreme,4.2
calaralto,Calar Alto,Spain,"37° 13' 25.00"" N","02° 32' 46.00"" W",2158,moderate,6.6
cao,Crimean Astrophysical Observatory,Ukraine,"44° 43' 27.96"" N","34° 00' 35.64"" E",578,moderate,6.5
casleo,Leoncito Astronomical Complex,Argentina,"31° 47' 55.02"" S","69° 17' 44.24"" W",2482,very low,6.7
cfht,Canada-France-Hawaii Telescope,United States,"19° 49' 30.96"" N","155° 28' 07.67"" W",4215,very low,6.8
ctio,Cerro Tololo Interamerican Observatory,Chile,"30° 10' 08.40"" S","70° 48' 22.32"" W",2215,low,6.7
dao,Dominion Astrophysical Observatory,Canada,"48° 31' 11.31"" N","123° 25' 06.00"" W",229,bad,5.8
dct,Discovery Channel Telescope,United States,"34° 44' 39.50"" N","111° 25' 21.05"" W",2337,very low,6.7
drao,Dominion Radio Astrophysical Observatory,Canada,"49° 19' 17.57"" N","119° 37' 11.99"" W",546,moderate,6.6
dwingeloo,Dwingeloo Radio Observatory,Netherlands,"52° 48' 43.55"" N","06° 23' 47.02"" E",14,bad,6.3
effelsberg,Effelsberg 100m telescope,Germany,"50° 31' 30.36"" N","06° 52' 59.16"" E",328,bad,6.1
ekar,Mount Ekar 182 cm. Telescope,Italy,"45° 50' 54.73"" N","11° 34' 08.51"" E",1413,bad,5.8
elt,European Extremely Large Telescope,Chile,"24° 35' 21.48"" S","70° 11' 29.76"" W",3060,negligible,6.8
fast,500m-aperture Spherical Telescope,China,"25° 39' 10.44"" N","106° 51' 23.80"" E",853,very low,6.7
flwo,Whipple Observatory,United States,"31° 40' 51.57"" N","110° 52' 42.04"" W",2320,low,6.7
gbo,Green Bank Observatory,United States,"38° 25' 59.52"" N","79° 50' 22.92"" W",806,moderate,6.6
gemn,Gemini North,United States,"19° 49' 25.69"" N","155° 28' 08.57"" W",4213,very low,6.8
gems,Gemini South,Chile,"30° 14' 26.67"" S","70° 44' 12.06"" W",2750,very low,6.7
griffith,Griffith Observatory,United States,"34° 07' 08.11"" N","118° 18' 01.51"" W",346,extreme,3.7
haleakala,Haleakala Observatories,United States,"20° 42' 29.32"" N","156° 15' 24.22"" W",3048,low,6.7
halley,Halley's Mount,Saint Helena,"15° 57' 44.82"" S","05° 41' 58.06"" W",659,very low,6.8
hanford,LIGO (Hanford),United States,"46° 27' 18.52"" N","119° 24' 27.56"" W",162,bad,6.3
iao,Indian Astronomical Observatory,India,"32° 46' 45.98"" N","78° 57' 51.00"" E",4486,negligible,6.8
icao,INAF Catania Astrophysical Observatory,Italy,"37° 41' 35.18"" N","14° 58' 28.00"" E",1733,bad,5.8
igo,IUCAA Girawali Observatory,India,"19° 04' 22.55"" N","73° 50' 41.09"" E",981,bad,6.3
ilmt,International Liquid Mirror Telescope,India,"29° 21' 39.39"" N","79° 41' 03.69"" E",2398,moderate,6.6
ino,Iranian National Observatory,Iran,"33° 40' 26.25"" N","51° 19' 06.58"" E",3572,moderate,6.6
iram,IRAM 30m telescope,Spain,"37° 03' 59.04"" N","03° 23' 32.64"" W",2843,bad,6.3
irtf,NASA Infrared Telescope Facility,United States,"19° 49' 34.39"" N","155° 28' 19.20"" W",4168,very low,6.8
ishigaki,Ishigaki Astronomical Observatory,Japan,"24° 22' 23.92"" N","124° 08' 21.18"" E",182,moderate,6.5
jcmt,James Clerk Maxwell Telescope,United States,"19° 49' 22.15"" N","155° 28' 37.06"" W",4072,very low,6.8
jena,Jena Observatory,Germany,"50° 55' 30.96"" N","11° 34' 58.51"" E",155,bad,5.8
jodrell,Jodrell Bank Observatory,United Kingdom,"53° 14' 12.48"" N","02° 18' 30.60"" W",89,bad,5.8
keck,W. M. Keck Observatory,United States,"19° 49' 34.67"" N","155° 28' 27.95"" W",4160,very low,6.8
kiso,Kiso Observatory,Japan,"35° 47' 50.00"" N","137° 37' 31.50"" E",1122,moderate,6.6
kpno,Kitt Peak National Observatory,United States,"31° 57' 48.00"" N","111° 35' 60.00"" W",2120,low,6.7
lapalma,"Roque de los Muchachos, La Palma",Spain,"28° 45' 38.31"" N","17° 52' 54.41"" W",2327,low,6.7
lasilla,La Silla Observatory (ESO),Chile,"29° 15' 32.40"" S","70° 44' 01.68"" W",2347,very low,6.8
lbt,Large Binocular Telescope,United States,"32° 42' 05.76"" N","109° 53' 19.32"" W",2902,low,6.7
lco,Las Campanas Observatory,Chile,"29° 00' 51.12"" S","70° 41' 33.00"" W",2282,very low,6.8
