TC_ID,IATA,ICAO_OACI,AIRPORT_T,AÉROPORT_T,TYPE_CODE,AIRPORT_AÉROPORT,CITY_VILLE,PROVINCE_EN,PROVINCE_FR,LATTITUDE,LONGITUDE
177,YXY,CYXY,Control Tower,Tour de contrôle,1,Erik Nielsen Whitehorse,Whitehorse,Yukon,Yukon,60.716666,-135.066666
185,YYJ,CYYJ,Control Tower,Tour de contrôle,1,Victoria International,Victoria,British Columbia,Colombie-Britannique,48.65,-123.433333
188,YYT,CYYT,Control Tower,Tour de contrôle,1,St John's Intl,Saint John,Newfoundland and Labrador,Terre-Neuve-et-Labrador,47.616666,-52.75
121,YQX,CYQX,Control Tower,Tour de contrôle,1,Gander International,Gander,Newfoundland and Labrador,Terre-Neuve-et-Labrador,48.933333,-54.566666
71,YHZ,CYHZ,Control Tower,Tour de contrôle,1,Halifax Robert L. Stanfield International,Halifax,Nova Scotia,Nouvelle-Écosse,44.883333,-63.516666
114,YQM,CYQM,Control Tower,Tour de contrôle,1,Moncton/Greater Moncton International,Moncton,New Brunswick,Nouveau Brunswick,46.116666,-64.683333
3,NULL,CYRC,Control Tower,Tour de contrôle,1,Chicoutimi/St-Honore,Chicoutimi,Quebec,Québec,48.516666,-71.05
107,YQB,CYQB,Control Tower,Tour de contrôle,1,Québec City Jean Lesage International Airport,Quebec City,Quebec,Québec,46.8,-71.4
15,YJN,CYJN,Control Tower,Tour de contrôle,1,St-Jean,Saint Jean,Quebec,Québec,45.283333,-73.266666
69,YHU,CYHU,Control Tower,Tour de contrôle,1,Montréal/St-Hubert,Longueuil,Quebec,Québec,45.516666,-73.416666
146,YUL,CYUL,Control Tower,Tour de contrôle,1,Montréal-Pierre Elliott Trudeau International,Dorval,Quebec,Québec,45.466666,-73.733333
98,YOW,CYOW,Control Tower,Tour de contrôle,1,Ottawa/Macdonald-Cartier International,Ottawa,Ontario,Ontario,45.316666,-75.666666
97,YOO,CYOO,Control Tower,Tour de contrôle,1,Oshawa,Oshawa,Ontario,Ontario,43.916666,-78.9
80,YKZ,CYKZ,Control Tower,Tour de contrôle,1,Toronto/Buttonville Municipal,Markham,Ontario,Ontario,43.866666,-79.366666
144,YTZ,CYTZ,Control Tower,Tour de contrôle,1,Toronto City Centre,Toronto,Ontario,Ontario,43.627888,-79.396101
191,YYZ,CYYZ,Control Tower,Tour de contrôle,1,Toronto Pearson International,Mississauga,Ontario,Ontario,43.683333,-79.633333
67,YHM,CYHM,Control Tower,Tour de contrôle,1,Hamilton,Hamilton,Ontario,Ontario,43.166666,-79.933333
78,YKF,CYKF,Control Tower,Tour de contrôle,1,Kitchener/Waterloo,Waterloo,Ontario,Ontario,43.45,-80.383333
175,YXU,CYXU,Control Tower,Tour de contrôle,1,London,London,Ontario,Ontario,43.033333,-81.15
110,YQG,CYQG,Control Tower,Tour de contrôle,1,Windsor,Windsor,Ontario,Ontario,42.266666,-82.966666
19,YAM,CYAM,Control Tower,Tour de contrôle,1,Sault Ste Marie,Sault Sainte Marie,Ontario,Ontario,46.483333,-84.516666
118,YQT,CYQT,Control Tower,Tour de contrôle,1,Thunder Bay,Thunder Bay,Ontario,Ontario,48.366666,-89.316666
1,NULL,CYAV,Control Tower,Tour de contrôle,1,Winnipeg/St Andrews,Winnipeg,Manitoba,Manitoba,50.05,-97.016666
157,YWG,CYWG,Control Tower,Tour de contrôle,1,Winnipeg James Armstrong Richardson International,Winnipeg,Manitoba,Manitoba,49.916666,-97.25
117,YQR,CYQR,Control Tower,Tour de contrôle,1,Regina International,Regina,Saskatchewan,Saskatchewan,50.433333,-104.666666
165,YXE,CYXE,Control Tower,Tour de contrôle,1,Saskatoon John G. Diefenbaker International,Saskatoon,Saskatchewan,Saskatchewan,52.166666,-106.7
87,YMM,CYMM,Control Tower,Tour de contrôle,1,Fort McMurray,Fort McMurray,Alberta,Alberta,56.65,-111.216666
164,YXD,CYXD,Control Tower,Tour de contrôle,1,Edmonton City Centre (Blatchford Field),Edmonton,Alberta,Alberta,53.566666,-113.516666
16,NULL,CZVL,Control Tower,Tour de contrôle,1,Edmonton/Villeneuve,Saint Albert,Alberta,Alberta,53.666666,-113.85
43,YEG,CYEG,Control Tower,Tour de contrôle,1,Edmonton Intl,Edmonton,Alberta,Alberta,53.316666,-113.583333
192,YZF,CYZF,Control Tower,Tour de contrôle,1,Yellowknife,Yellowknife,Northwest Territories,Territoires du Nord-Ouest,62.466666,-114.433333
179,YYC,CYYC,Control Tower,Tour de contrôle,1,Calgary International,Calgary,Alberta,Alberta,51.116666,-114.016666
14,NULL,CYBW,Control Tower,Tour de contrôle,1,Calgary/Springbank,Calgary,Alberta,Alberta,51.1,-114.366666
173,YXS,CYXS,Control Tower,Tour de contrôle,1,Prince George,Prince George,British Columbia,Colombie-Britannique,53.883333,-122.683333
83,YLW,CYLW,Control Tower,Tour de contrôle,1,Kelowna,Kelowna,British Columbia,Colombie-Britannique,49.95,-119.383333
176,YXX,CYXX,Control Tower,Tour de contrôle,1,Abbotsford,Abbotsford,British Columbia,Colombie-Britannique,49.033333,-122.366666
84,YLY,CYNJ,Control Tower,Tour de contrôle,1,Langley,Langley,British Columbia,Colombie-Britannique,49.1,-122.616666
4,CXH,CYHC,Control Tower,Tour de contrôle,1,Vancouver Harbour,Vancouver,British Columbia,Colombie-Britannique,49.283333,-123.1
155,YVR,CYVR,Control Tower,Tour de contrôle,1,Vancouver International,Richmond,British Columbia,Colombie-Britannique,49.2,-123.183333
102,YPK,CYPK,Control Tower,Tour de contrôle,1,Pitt Meadows,Pitt Meadows,British Columbia,Colombie-Britannique,49.2,-122.7
199,YDT,CZBB,Control Tower,Tour de contrôle,1,Boundary Bay,Ladner,British Columbia,Colombie-Britannique,49.066666,-123
26,YBL,CYBL,Flight Service Station,Station d'information de vol,2,Campbell River,Campbell River,British Columbia,Colombie-Britannique,49.95,-125.266666
30,YCD,CYCD,Flight Service Station,Station d'information de vol,2,Nanaimo,Nanaimo,British Columbia,Colombie-Britannique,49.05,-123.866666
158,YWH,CYWH,Flight Service Station,Station d'information de vol,2,Victoria Harbour,Victoria,British Columbia,Colombie-Britannique,48.416666,-123.366666
182,YYF,CYYF,Flight Service Station,Station d'information de vol,2,Penticton,Penticton,British Columbia,Colombie-Britannique,49.466666,-119.6
31,YCG,CYCG,Flight Service Station,Station d'information de vol,2,Castlegar,Castlegar,British Columbia,Colombie-Britannique,49.3,-117.633333
105,YPR,CYPR,Flight Service Station,Station d'information de vol,2,Prince Rupert,Prince Rupert,British Columbia,Colombie-Britannique,54.283333,-130.45
174,YXT,CYXT,Flight Service Station,Station d'information de vol,2,Terrace,Terrace,British Columbia,Colombie-Britannique,54.466666,-128.583333
195,YZT,CYZT,Flight Service Station,Station d'information de vol,2,Port Hardy,Port Hardy,British Columbia,Colombie-Britannique,50.683333,-127.366666
180,YYD,CYYD,Flight Service Station,Station d'information de vol,2,Smithers,Smithers,British Columbia,Colombie-Britannique,54.816666,-127.183333
154,YVQ,CYVQ,Flight Service Station,Station d'information de vol,2,Norman Wells,Norman Wells,Northwest Territories,Territoires du Nord-Ouest,65.283333,-126.8
161,YWL,CYWL,Flight Service Station,Station d'information de vol,2,Williams Lake,Williams Lake,British Columbia,Colombie-Britannique,52.183333,-122.05
167,YXJ,CYXJ,Flight Service Station,Station d'information de vol,2,Fort St John,Fort Saint John,British Columbia,Colombie-Britannique,56.233333,-120.733333
119,YQU,CYQU,Flight Service Station,Station d'information de vol,2,Grande Prairie,Grande Prairie,Alberta,Alberta,55.183333,-118.883333
101,YPE,CYPE,Flight Service Station,Station d'information de vol,2,Peace River,Peace River,Alberta,Alberta,56.233333,-117.45
